Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2010,1,Ciutat Vella,1,el Raval,1,1001,9
2010,1,Ciutat Vella,1,el Raval,1,1002,24
2010,1,Ciutat Vella,1,el Raval,2,1003,19
2010,1,Ciutat Vella,1,el Raval,2,1004,19
2010,1,Ciutat Vella,1,el Raval,3,1005,37
2010,1,Ciutat Vella,1,el Raval,3,1006,14
2010,1,Ciutat Vella,1,el Raval,3,1007,9
2010,1,Ciutat Vella,1,el Raval,4,1008,33
2010,1,Ciutat Vella,1,el Raval,4,1009,11
2010,1,Ciutat Vella,1,el Raval,4,1010,25
2010,1,Ciutat Vella,1,el Raval,5,1011,22
2010,1,Ciutat Vella,1,el Raval,5,1012,16
2010,1,Ciutat Vella,1,el Raval,5,1013,14
2010,1,Ciutat Vella,1,el Raval,6,1014,16
2010,1,Ciutat Vella,1,el Raval,6,1015,15
2010,1,Ciutat Vella,1,el Raval,6,1016,16
2010,1,Ciutat Vella,1,el Raval,6,1017,17
2010,1,Ciutat Vella,1,el Raval,7,1018,12
2010,1,Ciutat Vella,1,el Raval,7,1019,21
2010,1,Ciutat Vella,1,el Raval,7,1020,26
2010,1,Ciutat Vella,1,el Raval,8,1021,15
2010,1,Ciutat Vella,2,el Barri Gòtic,9,1022,17
2010,1,Ciutat Vella,2,el Barri Gòtic,9,1023,33
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1025,19
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1026,17
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1027,16
2010,1,Ciutat Vella,2,el Barri Gòtic,11,1028,16
2010,1,Ciutat Vella,2,el Barri Gòtic,11,1029,10
2010,1,Ciutat Vella,2,el Barri Gòtic,12,1030,40
2010,1,Ciutat Vella,2,el Barri Gòtic,12,1031,15
2010,1,Ciutat Vella,3,la Barceloneta,13,1032,27
2010,1,Ciutat Vella,3,la Barceloneta,13,1033,..
2010,1,Ciutat Vella,3,la Barceloneta,13,1034,12
2010,1,Ciutat Vella,3,la Barceloneta,14,1035,20
2010,1,Ciutat Vella,3,la Barceloneta,14,1036,16
2010,1,Ciutat Vella,3,la Barceloneta,15,1037,20
2010,1,Ciutat Vella,3,la Barceloneta,15,1038,16
2010,1,Ciutat Vella,3,la Barceloneta,15,1039,16
2010,1,Ciutat Vella,3,la Barceloneta,15,1040,8
2010,1,Ciutat Vella,3,la Barceloneta,15,1041,13
2010,1,Ciutat Vella,3,la Barceloneta,15,1042,44
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,9
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,15
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,13
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,19
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,21
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,19
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,15
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,14
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,16
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,24
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,23
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,12
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,21
2010,2,Eixample,5,el Fort Pienc,20,2001,11
2010,2,Eixample,5,el Fort Pienc,20,2002,15
2010,2,Eixample,5,el Fort Pienc,20,2003,37
2010,2,Eixample,5,el Fort Pienc,20,2004,17
2010,2,Eixample,5,el Fort Pienc,20,2005,20
2010,2,Eixample,5,el Fort Pienc,20,2006,12
2010,2,Eixample,5,el Fort Pienc,20,2007,12
2010,2,Eixample,5,el Fort Pienc,20,2008,22
2010,2,Eixample,5,el Fort Pienc,20,2009,18
2010,2,Eixample,5,el Fort Pienc,21,2010,7
2010,2,Eixample,5,el Fort Pienc,21,2011,11
2010,2,Eixample,5,el Fort Pienc,21,2012,14
2010,2,Eixample,5,el Fort Pienc,21,2013,10
2010,2,Eixample,5,el Fort Pienc,22,2014,7
2010,2,Eixample,5,el Fort Pienc,22,2015,16
2010,2,Eixample,5,el Fort Pienc,22,2016,13
2010,2,Eixample,5,el Fort Pienc,22,2017,15
2010,2,Eixample,5,el Fort Pienc,22,2018,16
2010,2,Eixample,5,el Fort Pienc,22,2019,14
2010,2,Eixample,5,el Fort Pienc,22,2020,15
2010,2,Eixample,6,la Sagrada Família,23,2021,5
2010,2,Eixample,6,la Sagrada Família,23,2022,..
2010,2,Eixample,6,la Sagrada Família,23,2023,9
2010,2,Eixample,6,la Sagrada Família,23,2024,12
2010,2,Eixample,6,la Sagrada Família,24,2025,9
2010,2,Eixample,6,la Sagrada Família,24,2026,23
2010,2,Eixample,6,la Sagrada Família,24,2027,18
2010,2,Eixample,6,la Sagrada Família,24,2028,18
2010,2,Eixample,6,la Sagrada Família,24,2029,9
2010,2,Eixample,6,la Sagrada Família,24,2030,17
2010,2,Eixample,6,la Sagrada Família,24,2031,8
2010,2,Eixample,6,la Sagrada Família,24,2032,60
2010,2,Eixample,6,la Sagrada Família,25,2033,10
2010,2,Eixample,6,la Sagrada Família,25,2034,12
2010,2,Eixample,6,la Sagrada Família,25,2035,16
2010,2,Eixample,6,la Sagrada Família,25,2036,12
2010,2,Eixample,6,la Sagrada Família,25,2037,5
2010,2,Eixample,6,la Sagrada Família,25,2038,14
2010,2,Eixample,6,la Sagrada Família,25,2039,18
2010,2,Eixample,6,la Sagrada Família,25,2040,16
2010,2,Eixample,6,la Sagrada Família,26,2041,43
2010,2,Eixample,6,la Sagrada Família,26,2042,12
2010,2,Eixample,6,la Sagrada Família,26,2043,7
2010,2,Eixample,6,la Sagrada Família,26,2044,5
2010,2,Eixample,6,la Sagrada Família,26,2045,9
2010,2,Eixample,6,la Sagrada Família,26,2046,31
2010,2,Eixample,6,la Sagrada Família,26,2047,17
2010,2,Eixample,6,la Sagrada Família,26,2048,8
2010,2,Eixample,6,la Sagrada Família,27,2049,20
2010,2,Eixample,6,la Sagrada Família,27,2050,11
2010,2,Eixample,6,la Sagrada Família,27,2051,23
2010,2,Eixample,6,la Sagrada Família,27,2052,18
2010,2,Eixample,6,la Sagrada Família,27,2053,15
2010,2,Eixample,6,la Sagrada Família,27,2054,20
2010,2,Eixample,7,la Dreta de l'Eixample,28,2055,17
2010,2,Eixample,7,la Dreta de l'Eixample,28,2056,38
2010,2,Eixample,7,la Dreta de l'Eixample,28,2057,14
2010,2,Eixample,7,la Dreta de l'Eixample,28,2058,17
2010,2,Eixample,7,la Dreta de l'Eixample,28,2059,26
2010,2,Eixample,7,la Dreta de l'Eixample,28,2060,7
2010,2,Eixample,7,la Dreta de l'Eixample,29,2061,9
2010,2,Eixample,7,la Dreta de l'Eixample,29,2062,17
2010,2,Eixample,7,la Dreta de l'Eixample,29,2063,24
2010,2,Eixample,7,la Dreta de l'Eixample,29,2064,15
2010,2,Eixample,7,la Dreta de l'Eixample,29,2065,25
2010,2,Eixample,7,la Dreta de l'Eixample,30,2066,16
2010,2,Eixample,7,la Dreta de l'Eixample,30,2067,15
2010,2,Eixample,7,la Dreta de l'Eixample,30,2068,16
2010,2,Eixample,7,la Dreta de l'Eixample,30,2069,17
2010,2,Eixample,7,la Dreta de l'Eixample,31,2070,17
2010,2,Eixample,7,la Dreta de l'Eixample,31,2071,19
2010,2,Eixample,7,la Dreta de l'Eixample,31,2072,20
2010,2,Eixample,7,la Dreta de l'Eixample,32,2073,20
2010,2,Eixample,7,la Dreta de l'Eixample,32,2074,18
2010,2,Eixample,7,la Dreta de l'Eixample,32,2075,19
2010,2,Eixample,7,la Dreta de l'Eixample,32,2076,19
2010,2,Eixample,7,la Dreta de l'Eixample,33,2077,27
2010,2,Eixample,7,la Dreta de l'Eixample,34,2078,23
2010,2,Eixample,7,la Dreta de l'Eixample,34,2079,31
2010,2,Eixample,7,la Dreta de l'Eixample,35,2080,26
2010,2,Eixample,7,la Dreta de l'Eixample,35,2081,33
2010,2,Eixample,7,la Dreta de l'Eixample,36,2082,8
2010,2,Eixample,7,la Dreta de l'Eixample,36,2083,17
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2084,25
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2085,21
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2086,12
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,18
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,10
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,24
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,20
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,13
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,20
