Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2010,1,Ciutat Vella,1,el Raval,1,1001,172
2010,1,Ciutat Vella,1,el Raval,1,1002,195
2010,1,Ciutat Vella,1,el Raval,2,1003,429
2010,1,Ciutat Vella,1,el Raval,2,1004,380
2010,1,Ciutat Vella,1,el Raval,3,1005,298
2010,1,Ciutat Vella,1,el Raval,3,1006,295
2010,1,Ciutat Vella,1,el Raval,3,1007,300
2010,1,Ciutat Vella,1,el Raval,4,1008,571
2010,1,Ciutat Vella,1,el Raval,4,1009,278
2010,1,Ciutat Vella,1,el Raval,4,1010,390
2010,1,Ciutat Vella,1,el Raval,5,1011,570
2010,1,Ciutat Vella,1,el Raval,5,1012,198
2010,1,Ciutat Vella,1,el Raval,5,1013,106
2010,1,Ciutat Vella,1,el Raval,6,1014,194
2010,1,Ciutat Vella,1,el Raval,6,1015,241
2010,1,Ciutat Vella,1,el Raval,6,1016,235
2010,1,Ciutat Vella,1,el Raval,6,1017,380
2010,1,Ciutat Vella,1,el Raval,7,1018,159
2010,1,Ciutat Vella,1,el Raval,7,1019,366
2010,1,Ciutat Vella,1,el Raval,7,1020,194
2010,1,Ciutat Vella,1,el Raval,8,1021,239
2010,1,Ciutat Vella,2,el Barri Gòtic,9,1022,104
2010,1,Ciutat Vella,2,el Barri Gòtic,9,1023,186
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1025,113
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1026,701
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1027,174
2010,1,Ciutat Vella,2,el Barri Gòtic,11,1028,209
2010,1,Ciutat Vella,2,el Barri Gòtic,11,1029,212
2010,1,Ciutat Vella,2,el Barri Gòtic,12,1030,275
2010,1,Ciutat Vella,2,el Barri Gòtic,12,1031,255
2010,1,Ciutat Vella,3,la Barceloneta,13,1032,200
2010,1,Ciutat Vella,3,la Barceloneta,13,1033,104
2010,1,Ciutat Vella,3,la Barceloneta,13,1034,96
2010,1,Ciutat Vella,3,la Barceloneta,14,1035,128
2010,1,Ciutat Vella,3,la Barceloneta,14,1036,89
2010,1,Ciutat Vella,3,la Barceloneta,15,1037,65
2010,1,Ciutat Vella,3,la Barceloneta,15,1038,180
2010,1,Ciutat Vella,3,la Barceloneta,15,1039,96
2010,1,Ciutat Vella,3,la Barceloneta,15,1040,86
2010,1,Ciutat Vella,3,la Barceloneta,15,1041,184
