Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2010,1,Ciutat Vella,1,el Raval,1,1001,20
2010,1,Ciutat Vella,1,el Raval,1,1002,16
2010,1,Ciutat Vella,1,el Raval,2,1003,28
2010,1,Ciutat Vella,1,el Raval,2,1004,37
2010,1,Ciutat Vella,1,el Raval,3,1005,23
2010,1,Ciutat Vella,1,el Raval,3,1006,9
2010,1,Ciutat Vella,1,el Raval,3,1007,27
2010,1,Ciutat Vella,1,el Raval,4,1008,38
2010,1,Ciutat Vella,1,el Raval,4,1009,21
2010,1,Ciutat Vella,1,el Raval,4,1010,34
2010,1,Ciutat Vella,1,el Raval,5,1011,37
2010,1,Ciutat Vella,1,el Raval,5,1012,19
2010,1,Ciutat Vella,1,el Raval,5,1013,17
2010,1,Ciutat Vella,1,el Raval,6,1014,15
2010,1,Ciutat Vella,1,el Raval,6,1015,27
2010,1,Ciutat Vella,1,el Raval,6,1016,20
2010,1,Ciutat Vella,1,el Raval,6,1017,31
2010,1,Ciutat Vella,1,el Raval,7,1018,10
2010,1,Ciutat Vella,1,el Raval,7,1019,21
2010,1,Ciutat Vella,1,el Raval,7,1020,16
2010,1,Ciutat Vella,1,el Raval,8,1021,7
2010,1,Ciutat Vella,2,el Barri Gòtic,9,1022,6
2010,1,Ciutat Vella,2,el Barri Gòtic,9,1023,15
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1025,10
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1026,20
2010,1,Ciutat Vella,2,el Barri Gòtic,10,1027,13
2010,1,Ciutat Vella,2,el Barri Gòtic,11,1028,24
2010,1,Ciutat Vella,2,el Barri Gòtic,11,1029,5
2010,1,Ciutat Vella,2,el Barri Gòtic,12,1030,27
2010,1,Ciutat Vella,2,el Barri Gòtic,12,1031,17
2010,1,Ciutat Vella,3,la Barceloneta,13,1032,22
2010,1,Ciutat Vella,3,la Barceloneta,13,1033,11
2010,1,Ciutat Vella,3,la Barceloneta,13,1034,8
2010,1,Ciutat Vella,3,la Barceloneta,14,1035,11
2010,1,Ciutat Vella,3,la Barceloneta,14,1036,6
2010,1,Ciutat Vella,3,la Barceloneta,15,1037,13
2010,1,Ciutat Vella,3,la Barceloneta,15,1038,18
2010,1,Ciutat Vella,3,la Barceloneta,15,1039,15
2010,1,Ciutat Vella,3,la Barceloneta,15,1040,7
2010,1,Ciutat Vella,3,la Barceloneta,15,1041,12
2010,1,Ciutat Vella,3,la Barceloneta,15,1042,14
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,8
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,15
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,13
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,18
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,11
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,24
