"Etiqueta","Homes","Dones"
"De 0 a 4 anys",28695,27153
"De 5 a 9 anys",32934,31240
"De 10 a 14 anys",36420,34455
"De 15 a 19 anys",39976,37580
"De 20 a 24 anys",48631,46751
"De 25 a 29 anys",64052,65350
"De 30 a 34 anys",73422,71860
"De 35 a 39 anys",66852,64160
"De 40 a 44 anys",63044,61526
"De 45 a 49 anys",64136,64025
"De 50 a 54 anys",59012,61585
"De 55 a 59 anys",51954,57498
"De 60 a 64 anys",46422,54941
"De 65 a 69 anys",39639,49967
"De 70 a 74 anys",32305,43599
"De 75 a 79 anys",29888,42662
"De 80 a 84 anys",22012,33916
"De 85 a 89 anys",12479,23173
"De 90 a 94 anys",6556,15855
"De 95 a 99 anys",1408,5154
"100 anys o mes",129,831
