Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,1327
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,1483
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,3266
2010-01-01,1,Ciutat Vella,1,el Raval,2,1004,2917
2010-01-01,1,Ciutat Vella,1,el Raval,3,1005,2401
2010-01-01,1,Ciutat Vella,1,el Raval,3,1006,1996
2010-01-01,1,Ciutat Vella,1,el Raval,3,1007,1979
2010-01-01,1,Ciutat Vella,1,el Raval,4,1008,3275
2010-01-01,1,Ciutat Vella,1,el Raval,4,1009,2160
2010-01-01,1,Ciutat Vella,1,el Raval,4,1010,2303
2010-01-01,1,Ciutat Vella,1,el Raval,5,1011,3388
2010-01-01,1,Ciutat Vella,1,el Raval,5,1012,1908
2010-01-01,1,Ciutat Vella,1,el Raval,5,1013,1267
2010-01-01,1,Ciutat Vella,1,el Raval,6,1014,1900
2010-01-01,1,Ciutat Vella,1,el Raval,6,1015,2310
2010-01-01,1,Ciutat Vella,1,el Raval,6,1016,2337
2010-01-01,1,Ciutat Vella,1,el Raval,6,1017,2706
2010-01-01,1,Ciutat Vella,1,el Raval,7,1018,1451
2010-01-01,1,Ciutat Vella,1,el Raval,7,1019,2784
2010-01-01,1,Ciutat Vella,1,el Raval,7,1020,2152
2010-01-01,1,Ciutat Vella,1,el Raval,8,1021,2046
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1243
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,3486
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1375
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3032
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1596
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,2016
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1490
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2565
2010-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1717
2010-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,2009
2010-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1198
2010-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,1135
2010-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1453
2010-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1184
2010-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1443
2010-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1634
2010-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1437
2010-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1145
2010-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1625
2010-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1827
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1116
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1473
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,2098
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1805
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1921
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2263
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1357
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1588
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1834
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2489
2010-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,2115
